Component Pins:
Owner   Type  Dir         Value  Name
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.raw-input-03
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.raw-input-03-not
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.raw-input-04
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.raw-input-04-not
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.raw-input-05
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.raw-input-05-not
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.raw-input-06
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.raw-input-06-not
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.raw-input-07
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.raw-input-07-not
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.raw-input-08
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.raw-input-08-not
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.raw-input-09
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.raw-input-09-not
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.raw-input-10
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.raw-input-10-not
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.raw-input-11
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.raw-input-11-not
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.raw-input-12
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.raw-input-12-not
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.raw-input-13
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.raw-input-13-not
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.raw-input-14
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.raw-input-14-not
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.raw-input-15
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.raw-input-15-not
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.raw-input-16
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.raw-input-16-not
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.raw-input-17
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.raw-input-17-not
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.raw-input-18
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.raw-input-18-not
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.raw-input-19
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.raw-input-19-not
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.raw-input-20
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.raw-input-20-not
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.raw-input-21
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.raw-input-21-not
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.raw-input-22
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.raw-input-22-not
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.raw-input-23
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.raw-input-23-not
     7  bit   IN          FALSE  hm2_7c80.0.led.CR01
     7  bit   IN          FALSE  hm2_7c80.0.led.CR02
     7  bit   IN          FALSE  hm2_7c80.0.led.CR03
     7  bit   IN          FALSE  hm2_7c80.0.led.CR04
     7  s32   OUT             0  hm2_7c80.0.read.time
     7  bit   IN          FALSE  hm2_7c80.0.ssr.00.invert-00
     7  bit   IN          FALSE  hm2_7c80.0.ssr.00.invert-01
     7  bit   IN          FALSE  hm2_7c80.0.ssr.00.invert-02
     7  bit   IN          FALSE  hm2_7c80.0.ssr.00.invert-03
     7  bit   IN          FALSE  hm2_7c80.0.ssr.00.invert-04
     7  bit   IN          FALSE  hm2_7c80.0.ssr.00.invert-05
     7  bit   IN          FALSE  hm2_7c80.0.ssr.00.invert-06
     7  bit   IN          FALSE  hm2_7c80.0.ssr.00.invert-07
     7  bit   IN          FALSE  hm2_7c80.0.ssr.00.out-00
     7  bit   IN          FALSE  hm2_7c80.0.ssr.00.out-01
     7  bit   IN          FALSE  hm2_7c80.0.ssr.00.out-02
     7  bit   IN          FALSE  hm2_7c80.0.ssr.00.out-03
     7  bit   IN          FALSE  hm2_7c80.0.ssr.00.out-04
     7  bit   IN          FALSE  hm2_7c80.0.ssr.00.out-05
     7  bit   IN          FALSE  hm2_7c80.0.ssr.00.out-06
     7  bit   IN          FALSE  hm2_7c80.0.ssr.00.out-07
     7  u32   IN     0x000F4240  hm2_7c80.0.ssr.00.rate
     7  bit   IN          FALSE  hm2_7c80.0.stepgen.00.control-type
     7  s32   OUT             0  hm2_7c80.0.stepgen.00.counts
     7  float OUT             0  hm2_7c80.0.stepgen.00.dbg_err_at_match
     7  float OUT             0  hm2_7c80.0.stepgen.00.dbg_ff_vel
     7  float OUT             0  hm2_7c80.0.stepgen.00.dbg_pos_minus_prev_cmd
     7  float OUT             0  hm2_7c80.0.stepgen.00.dbg_s_to_match
     7  s32   OUT             0  hm2_7c80.0.stepgen.00.dbg_step_rate
     7  float OUT             0  hm2_7c80.0.stepgen.00.dbg_vel_error
     7  bit   IN          FALSE  hm2_7c80.0.stepgen.00.enable
     7  float IN              0  hm2_7c80.0.stepgen.00.position-cmd
     7  float OUT             0  hm2_7c80.0.stepgen.00.position-fb
     7  bit   IN          FALSE  hm2_7c80.0.stepgen.00.position-reset
     7  float IN              0  hm2_7c80.0.stepgen.00.velocity-cmd
     7  float OUT             0  hm2_7c80.0.stepgen.00.velocity-fb
     7  bit   IN          FALSE  hm2_7c80.0.stepgen.01.control-type
     7  s32   OUT             0  hm2_7c80.0.stepgen.01.counts
     7  float OUT             0  hm2_7c80.0.stepgen.01.dbg_err_at_match
     7  float OUT             0  hm2_7c80.0.stepgen.01.dbg_ff_vel
     7  float OUT             0  hm2_7c80.0.stepgen.01.dbg_pos_minus_prev_cmd
     7  float OUT             0  hm2_7c80.0.stepgen.01.dbg_s_to_match
     7  s32   OUT             0  hm2_7c80.0.stepgen.01.dbg_step_rate
     7  float OUT             0  hm2_7c80.0.stepgen.01.dbg_vel_error
     7  bit   IN          FALSE  hm2_7c80.0.stepgen.01.enable
     7  float IN              0  hm2_7c80.0.stepgen.01.position-cmd
     7  float OUT             0  hm2_7c80.0.stepgen.01.position-fb
     7  bit   IN          FALSE  hm2_7c80.0.stepgen.01.position-reset
     7  float IN              0  hm2_7c80.0.stepgen.01.velocity-cmd
